batch_size,epoch,input_to_padding_ratio,learning_rate,num_frames,num_tokens,output_to_padding_ratio,step,train_loss,training_batch_bleu,training_batch_wer
8.0,0,0.7707546949386597,1.6129032474054839e-06,1568640.0,472.0,0.6344085931777954,4,0.6746519207954407,0.6029919981956482,0.2142857164144516
8.0,0,0.7272376418113708,3.2258064948109677e-06,1809600.0,497.0,0.7484939694404602,9,0.499184787273407,0.629963755607605,0.19141913950443268
8.0,0,0.7063007950782776,4.838709628529614e-06,2001600.0,553.0,0.6521226167678833,14,0.4968792498111725,0.6773326396942139,0.18285714089870453
8.0,0,0.6775000095367432,6.451612989621935e-06,1560960.0,448.0,0.7887324094772339,19,0.3910294473171234,0.7021344900131226,0.17114093899726868
8.0,0,0.7974910140037537,8.064515895966906e-06,1708800.0,532.0,0.6785714030265808,24,0.23241302371025085,0.7985641956329346,0.11635220050811768
8.0,0,0.7645705342292786,9.677419257059228e-06,1914240.0,541.0,0.7684659361839294,29,0.43363040685653687,0.5593489408493042,0.2591361999511719
8.0,0,0.45446428656578064,9.998845598602202e-06,1465920.0,441.0,0.7067307829856873,34,0.39978912472724915,0.6426587104797363,0.1780821979045868
8.0,0,0.46332645416259766,9.994157153414562e-06,1722240.0,506.0,0.6388888955116272,39,0.23603257536888123,0.6182019114494324,0.17105263471603394
8.0,0,0.6626381278038025,9.9858661997132e-06,1842240.0,488.0,0.7011494040489197,44,0.35064688324928284,0.6396010518074036,0.2234848439693451
8.0,0,0.7327454090118408,9.973979103961028e-06,1834560.0,555.0,0.7380319237709045,49,0.07356231659650803,0.8669044971466064,0.0569620244204998
8.0,0,0.5940054655075073,9.958504051610362e-06,1674240.0,492.0,0.7235293984413147,54,0.1795741766691208,0.7171130180358887,0.1993127167224884
8.0,0,0.6267655491828918,9.939453775587026e-06,1704000.0,469.0,0.7063252925872803,59,0.5155749917030334,0.66170734167099,0.17328520119190216
8.0,0,0.5188318490982056,9.91684282780625e-06,1824960.0,536.0,0.6979166865348816,64,0.2030322402715683,0.6905050277709961,0.1587301641702652
8.0,0,0.6125710010528564,9.890687579172663e-06,1656000.0,477.0,0.6933139562606812,69,0.27005499601364136,0.653643012046814,0.17518247663974762
8.0,0,0.751724123954773,9.861008038569707e-06,1674240.0,494.0,0.7017045617103577,74,0.25687482953071594,0.6338167190551758,0.21381579339504242
8.0,0,0.7450980544090271,9.827826943364926e-06,1751040.0,525.0,0.7906626462936401,79,0.2969406247138977,0.6600704193115234,0.2133333384990692
